Year,Province,Technology,Generation_TWh
2030,KWJ,ThermalPower{NaturalGas},24.519169
2030,KWJ,ThermalPower{Uranium},2.5e-05
2030,KWJ,ThermalSteam{Coal},0.212183
2030,KWJ,ThermalSteam{NaturalGas},0.510814
2030,KWJ,VRE,7e-06
2030,PUS,Battery,0.002004
2030,PUS,ThermalPowerCCS{Coal},0.0
2030,PUS,ThermalPowerCCS{NaturalGas},0.0
2030,PUS,ThermalPower{Coal},9.7e-05
2030,PUS,ThermalPower{NaturalGas},78.817891
2030,PUS,ThermalPower{Uranium},5.5e-05
2030,PUS,ThermalSteam{Coal},0.045551
2030,PUS,ThermalSteam{NaturalGas},2.121091
2030,PUS,VRE,9e-06
2030,SEL,Battery,0.000297
2030,SEL,ThermalPowerCCS{Coal},0.0
2030,SEL,ThermalPowerCCS{NaturalGas},0.0
2030,SEL,ThermalPower{Coal},0.0
2030,SEL,ThermalPower{NaturalGas},0.15277
2030,SEL,ThermalPower{Uranium},1e-05
2030,SEL,ThermalSteam{Coal},0.153499
2030,SEL,ThermalSteam{NaturalGas},7.602722
2030,SEL,VRE,6e-06
2030,SJG,Battery,0.000317
2030,SJG,ThermalPowerCCS{Coal},0.0
2030,SJG,ThermalPowerCCS{NaturalGas},0.0
2030,SJG,ThermalPower{Coal},5.2e-05
2030,SJG,ThermalPower{NaturalGas},0.195733
2030,SJG,ThermalPower{Uranium},1.8e-05
2030,SJG,ThermalSteam{Coal},3.9e-05
2030,SJG,ThermalSteam{NaturalGas},0.787007
2030,SJG,VRE,6e-06
2030,TAE,Battery,0.005308
2030,TAE,ThermalPowerCCS{Coal},0.0
2030,TAE,ThermalPowerCCS{NaturalGas},0.0
2030,TAE,ThermalPower{Coal},8.6e-05
2030,TAE,ThermalPower{NaturalGas},23.031772
2030,TAE,ThermalPower{Uranium},2e-05
2030,TAE,ThermalSteam{Coal},5.2e-05
2030,TAE,ThermalSteam{NaturalGas},1.022469
2030,TAE,VRE,8e-06
2030,USN,Battery,0.003209
2030,USN,ThermalPowerCCS{Coal},0.0
2030,USN,ThermalPowerCCS{NaturalGas},0.0
2030,USN,ThermalPower{Coal},9.6e-05
2030,USN,ThermalPower{NaturalGas},24.89789
