"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"oil_and_natural_gas",2010-07-01,138900,189444,151800
"bio_oil_and_diesel",2010-08-01,26259,119718,23590
"coal",2010-08-01,4819476.1044,9743592.528,4197103.3857
"natural_gas",2010-08-01,718394.6177,2881061.608,769413.905566667
"oil",2010-08-01,199433.0493,336358.798,165679.461633333
"oil_and_natural_gas",2010-08-01,172500,233223,150166.666666667
"bio_oil_and_diesel",2010-09-01,22932,98102,23543.8333333333
"coal",2010-09-01,4452144.2291,9150803.81,4237967.56885
"natural_gas",2010-09-01,698242.4572,2645523.041,721178.994333333
"oil",2010-09-01,134656.1607,218616.339,149142.58865
"oil_and_natural_gas",2010-09-01,138000,186502,136116.666666667
"bio_oil_and_diesel",2010-10-01,14254,67453.9,22496.1666666667
"coal",2010-10-01,4488680.511,9079936.913,4381249.06635
"natural_gas",2010-10-01,738330.0518,2657271.962,697949.050233333
"oil",2010-10-01,73438.2559,118962.363,148312.857133333
"oil_and_natural_gas",2010-10-01,52900,86847,119550
"bio_oil_and_diesel",2010-11-01,25215,115135.9,22759.3333333333
"coal",2010-11-01,4071624.6237,8693029.666,4436463.27453333
"natural_gas",2010-11-01,1055992.3666,3661696.382,765331.926
"oil",2010-11-01,8703.3831,12475.252,137110.41055
"oil_and_natural_gas",2010-11-01,88000,159238,115983.333333333
"bio_oil_and_diesel",2010-12-01,25121,113177.5,22914.5
"coal",2010-12-01,4240131.9973,9084906.48,4475341.66771667
"natural_gas",2010-12-01,1385823.6385,4740052.407,882191.054033333
"oil",2010-12-01,319635.9241,442661.844,159519.131166667
"oil_and_natural_gas",2010-12-01,277600,469585,144650
"bio_oil_and_diesel",2011-01-01,25777,119814.5,23259.6666666667
"coal",2011-01-01,4227273.6336,9661630.548,4383221.84985
"natural_gas",2011-01-01,1641794.3356,5297326.586,1039762.91123333
"oil",2011-01-01,488650.2851,821544.252,204086.176366667
"oil_and_natural_gas",2011-01-01,274500,606971,167250
"bio_oil_and_diesel",2011-02-01,20975,97014.6,22379
"coal",2011-02-01,3736024.7244,8270466.699,4202646.61985
"natural_gas",2011-02-01,1095736.6619,3571529.912,1102653.25193333
"oil",2011-02-01,173358.6614,360292.407,199740.44505
"oil_and_natural_gas",2011-02-01,116700,210557,157950
"bio_oil_and_diesel",2011-03-01,29485,117877.6,23471.1666666667
"coal",2011-03-01,4101212.2942,8826774.621,4144157.96403333
"natural_gas",2011-03-01,1254732.3724,4388161.22,1195401.57113333
"oil",2011-03-01,279947.251,542130.697,223955.626766667
"oil_and_natural_gas",2011-03-01,156100,273978,160966.666666667
"bio_oil_and_diesel",2011-04-01,37869,104419.1,27407
"coal",2011-04-01,3644445.6031,7962411.121,4003452.14605
"natural_gas",2011-04-01,1090822.7749,3737255.537,1254150.35831667
"oil",2011-04-01,27927.2856,57202.948,216370.46505
"oil_and_natural_gas",2011-04-01,197200,258353,185016.666666667
"bio_oil_and_diesel",2011-05-01,38781,106204.9,29668
"coal",2011-05-01,3708408.7334,7932640.042,3942916.16433333
"natural_gas",2011-05-01,794473.641,2723416.597,1210563.90405
"oil_and_natural_gas",2011-05-01,33800,64999,175983.333333333
"bio_oil_and_diesel",2011-06-01,39205,109019.9,32015.3333333333
"coal",2011-06-01,4022763.7318,8276996.31,3906688.12008333
"natural_gas",2011-06-01,794537.1684,3108996.282,1112016.15903333
"oil",2011-06-01,234927.1893,300922.093,254074.43275
"oil_and_natural_gas",2011-06-01,142200,257417,153416.666666667
"bio_oil_and_diesel",2011-07-01,40593,112658.3,34484.6666666667
"coal",2011-07-01,4691780.1544,9607051.394,3984105.87355
"natural_gas",2011-07-01,855176.6782,2823736.368,980913.216133333
"oil",2011-07-01,76450.5567,102508.34,213543.538183333
"oil_and_natural_gas",2011-07-01,41500,65888,114583.333333333
"bio_oil_and_diesel",2011-08-01,41011,116750.6,37824
"coal",2011-08-01,4555442.7397,9557836.752,4120675.54276667
"natural_gas",2011-08-01,845544.2991,2746197.243,939214.489
"oil",2011-08-01,36509.1845,46040.284,138186.688083333
"oil_and_natural_gas",2011-08-01,47600,87788,103066.666666667
"bio_oil_and_diesel",2011-09-01,38514,105784.9,39328.8333333333
"coal",2011-09-01,4242524.364,8819140.194,4144227.5544
"natural_gas",2011-09-01,828386.8424,3043799.309,868156.900666667
"oil",2011-09-01,160738.4205,273110.171,136083.3146
"oil_and_natural_gas",2011-09-01,117600,195527,96650
"bio_oil_and_diesel",2011-10-01,23050,67976.1,36859
"coal",2011-10-01,4653195.7149,9609025.425,4312352.57303333
"natural_gas",2011-10-01,692294.9971,2420007.203,801735.604366667
"oil",2011-10-01,32117.5582,84896.248,94778.3658
"oil_and_natural_gas",2011-10-01,55800,84842,73083.3333333333
"bio_oil_and_diesel",2011-11-01,36716,107309.5,36514.8333333333
"coal",2011-11-01,4358962.3283,9031969.142,4420778.17218333
"natural_gas",2011-11-01,904544.4514,3191917.992,820080.739433333
"oil",2011-11-01,74481.9406,103238.337,102537.474966667
"oil_and_natural_gas",2011-11-01,101700,187186,84400
"bio_oil_and_diesel",2011-12-01,39712,115584.6,36599.3333333333
"coal",2011-12-01,4567520.3488,9678002.772,4511570.94168333
"natural_gas",2011-12-01,1360716.4011,4444938.947,914443.944883333
"oil",2011-12-01,221142.8789,325193.508,100240.0899
"oil_and_natural_gas",2011-12-01,152900,315707,86183.3333333333
"bio_oil_and_diesel",2012-01-01,42677,124290.4,36946.6666666667
"coal",2012-01-01,4490719.2542,9606218.774,4478060.79165
