"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"oil_and_natural_gas",2015-11-01,419800,805143,94266.6666666667
"bio_oil_and_diesel",2015-12-01,13735,126184.3,14633.5
"coal",2015-12-01,2553580.9314,8972598.770767,2633384.72805
"natural_gas",2015-12-01,0,1337677.412,0
"oil",2015-12-01,229254.9903,622387.598,99475.2128666667
"oil_and_natural_gas",2015-12-01,380000,775125,153783.333333333
"bio_oil_and_diesel",2016-01-01,13231,119407.8,14183.8333333333
"coal",2016-01-01,2415748.1931,9062589.874858,2546498.92186667
"natural_gas",2016-01-01,0,1870212.336625,0
"oil",2016-01-01,284695.9457,727832.841,143920.716966667
"oil_and_natural_gas",2016-01-01,426100,728805,224100
"bio_oil_and_diesel",2016-02-01,13579,124122.2,14303.5
"coal",2016-02-01,2311263.9894,8318973.542547,2420957.67393333
"natural_gas",2016-02-01,0,1671188.645015,0
"oil",2016-02-01,272464.0439,660733.634,179879.913666667
"oil_and_natural_gas",2016-02-01,316100,623186,274616.666666667
"bio_oil_and_diesel",2016-03-01,12804,113763.4,13883
"coal",2016-03-01,2355890.7758,8338778.070248,2384558.22435
"natural_gas",2016-03-01,0,1579065.978526,0
"oil",2016-03-01,355731.474,686424.032,233678.765016667
"oil_and_natural_gas",2016-03-01,203000,776715,305866.666666667
"bio_oil_and_diesel",2016-04-01,14874,123187.8,13539.6666666667
"coal",2016-04-01,1915235.7797,6973576.004027,2301970.90285
"natural_gas",2016-04-01,0,1031386.374073,0
"oil",2016-04-01,169663.5912,447807.074,251615.781583333
"oil_and_natural_gas",2016-04-01,115500,579572,310083.333333333
"bio_oil_and_diesel",2016-05-01,13086,118572.3,13551.5
"coal",2016-05-01,2036685.6323,7313323.649752,2264734.21695
"natural_gas",2016-05-01,0,1290044.887543,0
"oil",2016-05-01,238361.9384,450060.218,258361.99725
"oil_and_natural_gas",2016-05-01,77900,305927,253100
