"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"natural_gas",2014-12-01,0,2112832.232,0
"oil",2014-12-01,3614.1542,173995.03,2493.12338333333
"oil_and_natural_gas",2014-12-01,1100,146992,616.666666666667
"bio_oil_and_diesel",2015-01-01,852,116133,818.666666666667
"coal",2015-01-01,171445.6768,9582119.863,159089.469016667
"natural_gas",2015-01-01,0,1773501.353,0
"oil",2015-01-01,795.109,62361.467,1783.21573333333
"oil_and_natural_gas",2015-01-01,1000,308952,666.666666666667
"bio_oil_and_diesel",2015-02-01,755,102308.9,811.166666666667
"coal",2015-02-01,141753.4455,8188412.522,153880.821466667
"natural_gas",2015-02-01,0,1505066.886,0
"oil",2015-02-01,698.8242,52383.007,1775.64521666667
"oil_and_natural_gas",2015-02-01,1100,341255,766.666666666667
"bio_oil_and_diesel",2015-03-01,893,116434.8,846.5
"coal",2015-03-01,140607.8301,8584229.808,150699.014183333
"natural_gas",2015-03-01,0,1413963.621,0
"oil",2015-03-01,5209.019,688895.896,2050.27016666667
"oil_and_natural_gas",2015-03-01,1400,626739,833.333333333333
"bio_oil_and_diesel",2015-04-01,833,105820.2,872.666666666667
"coal",2015-04-01,141465.9866,8274595.89,151746.394883333
"natural_gas",2015-04-01,0,1144881.466,0
"oil",2015-04-01,1294.1675,227060.738,2138.23263333333
"oil_and_natural_gas",2015-04-01,1200,316677,1000
"bio_oil_and_diesel",2015-05-01,746,94303.6,826.333333333333
"coal",2015-05-01,148039.551,8469354.421,152442.802566667
"natural_gas",2015-05-01,0,1129160.366,0
"oil",2015-05-01,1026.1785,182450.978,2106.24206666667
"oil_and_natural_gas",2015-05-01,100,45740,983.333333333333
"bio_oil_and_diesel",2015-06-01,514,74707.1,765.5
"coal",2015-06-01,153221.2592,8866948.593,149422.291533333
"natural_gas",2015-06-01,0,1205024.189,0
"oil",2015-06-01,755.0232,91594.412,1629.72023333333
"bio_oil_and_diesel",2015-07-01,1138,120509.8,813.166666666667
"coal",2015-07-01,158962.3584,8977551.714,147341.738466667
"natural_gas",2015-07-01,0,1088092.517,0
"oil",2015-07-01,529.0581,31711.261,1585.37841666667
"bio_oil_and_diesel",2015-08-01,995,119048.5,853.166666666667
"coal",2015-08-01,172033.973,9176198.579,152388.49305
"natural_gas",2015-08-01,0,1615716.202,0
"oil",2015-08-01,1858.801,177132.511,1778.70788333333
"bio_oil_and_diesel",2015-09-01,821,116414.7,841.166666666667
"coal",2015-09-01,146967.487,8087416.479,153448.435866667
"natural_gas",2015-09-01,0,1587522.781,0
"oil",2015-09-01,1280.5992,163279.311,1123.97125
"oil_and_natural_gas",2015-09-01,100,24637,816.666666666667
"bio_oil_and_diesel",2015-10-01,915,80958.9,854.833333333333
"coal",2015-10-01,128490.2177,6722148.327431,151285.807716667
"natural_gas",2015-10-01,0,865308.502,0
"oil",2015-10-01,1801.8124,184639.21,1208.57873333333
"oil_and_natural_gas",2015-10-01,400,130343,716.666666666667
"bio_oil_and_diesel",2015-11-01,827,70299.6,868.333333333333
"coal",2015-11-01,135706.2894,6544610.564352,149230.264116667
"natural_gas",2015-11-01,0,610388.584,0
"oil",2015-11-01,6370.8564,630150.894,2099.35838333333
"oil_and_natural_gas",2015-11-01,1900,805143,850
"bio_oil_and_diesel",2015-12-01,923,126184.3,936.5
"coal",2015-12-01,142782.7273,8744617.770767,147490.5088
"natural_gas",2015-12-01,0,879746.412,0
"oil",2015-12-01,8039.9296,622387.598,3313.50945
"oil_and_natural_gas",2015-12-01,2200,775125,983.333333333333
"bio_oil_and_diesel",2016-01-01,892,119407.8,895.5
"coal",2016-01-01,138807.2408,9062589.874858,144131.322533333
"natural_gas",2016-01-01,0,1265651.336625,0
"oil",2016-01-01,12909.1579,727832.841,5376.85941666667
"oil_and_natural_gas",2016-01-01,2200,728805,1150
"bio_oil_and_diesel",2016-02-01,1015,124122.2,898.833333333333
"coal",2016-02-01,120535.2938,8318973.542547,135548.209333333
"natural_gas",2016-02-01,0,1025154.645015,0
"oil",2016-02-01,8384.5132,660733.634,6464.47811666667
"oil_and_natural_gas",2016-02-01,2100,623186,1483.33333333333
"bio_oil_and_diesel",2016-03-01,1045,113763.4,936.166666666667
"coal",2016-03-01,123411.0352,8338779.684248,131622.134033333
