"energy_type_clean","date","energy_generated_mwh","energy_generated_mwh_ma6"
"oil",2013-10-01,671713.788,571546.752166667
"oil_and_natural_gas",2013-10-01,307961,320883
"bio_oil_and_diesel",2013-11-01,115408.3,107433.166666667
"coal",2013-11-01,8352379.538,8882096.32716667
"natural_gas",2013-11-01,4594836.318,3873057.30183333
"oil",2013-11-01,610821.028,607220.078166667
"oil_and_natural_gas",2013-11-01,312867,320082.833333333
"bio_oil_and_diesel",2013-12-01,118073.9,109360.683333333
"coal",2013-12-01,9577517.84,8956991.56483333
"natural_gas",2013-12-01,4936271.95,4064356.49333333
"oil",2013-12-01,525170.204,590969.560166667
"oil_and_natural_gas",2013-12-01,310633,319841.5
"bio_oil_and_diesel",2014-01-01,125121.9,110241.583333333
"coal",2014-01-01,9427194.2,8917808.40033333
"natural_gas",2014-01-01,4170642.703,4076114.049
"oil",2014-01-01,272261.203,517234.3575
"oil_and_natural_gas",2014-01-01,238491,291448
"bio_oil_and_diesel",2014-02-01,112852.7,108528.6
"coal",2014-02-01,8121870.897,8700700.53333333
"natural_gas",2014-02-01,3606974.217,4022352.53
"oil",2014-02-01,354652.026,457867.924666667
"oil_and_natural_gas",2014-02-01,265716,266933.666666667
"bio_oil_and_diesel",2014-03-01,114371.9,112834.45
"coal",2014-03-01,8661726.497,8726677.50316667
"natural_gas",2014-03-01,3883209.384,4164272.84966667
"oil",2014-03-01,485527.294,486690.923833333
"oil_and_natural_gas",2014-03-01,338582,295708.333333333
"bio_oil_and_diesel",2014-04-01,118128.7,117326.233333333
"coal",2014-04-01,7692476.954,8638860.98766667
"natural_gas",2014-04-01,3055200.748,4041189.22
"oil",2014-04-01,157427.066,400976.470166667
"oil_and_natural_gas",2014-04-01,187064,275558.833333333
"bio_oil_and_diesel",2014-05-01,114091.8,117106.816666667
"coal",2014-05-01,8131978.621,8602127.5015
"natural_gas",2014-05-01,2829813.352,3747018.72566667
"oil",2014-05-01,209408.48,334074.378833333
"oil_and_natural_gas",2014-05-01,191078,255260.666666667
"bio_oil_and_diesel",2014-06-01,107880.7,115407.95
"coal",2014-06-01,8558595.264,8432307.07216667
"natural_gas",2014-06-01,2608188.717,3359004.8535
"oil",2014-06-01,291729.959,295167.671333333
"oil_and_natural_gas",2014-06-01,136268,226199.833333333
"bio_oil_and_diesel",2014-07-01,117825.7,114191.916666667
"coal",2014-07-01,9462742.184,8438231.73616667
"natural_gas",2014-07-01,2920583.889,3150661.71783333
"oil",2014-07-01,390901.933,314941.126333333
"oil_and_natural_gas",2014-07-01,285010,233953
"bio_oil_and_diesel",2014-08-01,113319.1,114269.65
"coal",2014-08-01,9213244.426,8620127.32433333
"natural_gas",2014-08-01,2025221.115,2887036.20083333
"oil",2014-08-01,55504.412,265083.190666667
"oil_and_natural_gas",2014-08-01,7894,190982.666666667
"bio_oil_and_diesel",2014-09-01,86230.5,109579.416666667
"coal",2014-09-01,7336313.259,8399225.118
"natural_gas",2014-09-01,2900834.638,2723307.0765
"oil",2014-09-01,221285.586,221042.906
"oil_and_natural_gas",2014-09-01,33012,140054.333333333
"bio_oil_and_diesel",2014-10-01,79283.2,103105.166666667
"coal",2014-10-01,7577020.939,8379982.44883333
"natural_gas",2014-10-01,2958560.927,2707200.43966667
"oil",2014-10-01,31231.544,200010.319
"oil_and_natural_gas",2014-10-01,13397,111109.833333333
"bio_oil_and_diesel",2014-11-01,114770.5,103218.283333333
"coal",2014-11-01,7888280.823,8339366.14916667
"natural_gas",2014-11-01,3048143.925,2743588.8685
